YEAR,-3,1,0,-,2019-01-01,2020-01-01,2019-12-31
YEAR,-2,1,0,-,2018-01-01,2019-01-01,2018-12-31
YEAR,-1,1,0,-,2017-01-01,2018-01-01,2017-12-31
YEAR,0,1,0,-,2016-01-01,2017-01-01,2016-12-31
YEAR,1,1,0,-,2015-01-01,2016-01-01,2015-12-31
YEAR,2,1,0,-,2014-01-01,2015-01-01,2014-12-31
YEAR,3,1,0,-,2013-01-01,2014-01-01,2013-12-31
YEAR,-3,5,0,-,2031-01-01,2036-01-01,2035-12-31
YEAR,-2,5,0,-,2026-01-01,2031-01-01,2030-12-31
YEAR,-1,5,0,-,2021-01-01,2026-01-01,2025-12-31
YEAR,0,5,0,-,2016-01-01,2021-01-01,2020-12-31
YEAR,1,5,0,-,2011-01-01,2016-01-01,2015-12-31
YEAR,2,5,0,-,2006-01-01,2011-01-01,2010-12-31
YEAR,3,5,0,-,2001-01-01,2006-01-01,2005-12-31
YEAR,-3,5,1,-,2015-01-01,2020-01-01,2019-12-31
YEAR,-2,5,1,-,2014-01-01,2019-01-01,2018-12-31
YEAR,-1,5,1,-,2013-01-01,2018-01-01,2017-12-31
YEAR,0,5,1,-,2012-01-01,2017-01-01,2016-12-31
YEAR,1,5,1,-,2011-01-01,2016-01-01,2015-12-31
YEAR,2,5,1,-,2010-01-01,2015-01-01,2014-12-31
YEAR,3,5,1,-,2009-01-01,2014-01-01,2013-12-31
QUARTER,-3,1,0,-,2017-07-01,2017-10-01,2017-09-30
QUARTER,-2,1,0,-,2017-04-01,2017-07-01,2017-06-30
QUARTER,-1,1,0,-,2017-01-01,2017-04-01,2017-03-31
QUARTER,0,1,0,-,2016-10-01,2017-01-01,2016-12-31
QUARTER,1,1,0,-,2016-07-01,2016-10-01,2016-09-30
QUARTER,2,1,0,-,2016-04-01,2016-07-01,2016-06-30
QUARTER,3,1,0,-,2016-01-01,2016-04-01,2016-03-31
QUARTER,-3,5,0,-,2020-07-01,2021-10-01,2021-09-30
QUARTER,-2,5,0,-,2019-04-01,2020-07-01,2020-06-30
QUARTER,-1,5,0,-,2018-01-01,2019-04-01,2019-03-31
QUARTER,0,5,0,-,2016-10-01,2018-01-01,2017-12-31
QUARTER,1,5,0,-,2015-07-01,2016-10-01,2016-09-30
QUARTER,2,5,0,-,2014-04-01,2015-07-01,2015-06-30
QUARTER,3,5,0,-,2013-01-01,2014-04-01,2014-03-31
QUARTER,-3,5,1,-,2016-07-01,2017-10-01,2017-09-30
QUARTER,-2,5,1,-,2016-04-01,2017-07-01,2017-06-30
QUARTER,-1,5,1,-,2016-01-01,2017-04-01,2017-03-31
QUARTER,0,5,1,-,2015-10-01,2017-01-01,2016-12-31
QUARTER,1,5,1,-,2015-07-01,2016-10-01,2016-09-30
QUARTER,2,5,1,-,2015-04-01,2016-07-01,2016-06-30
QUARTER,3,5,1,-,2015-01-01,2016-04-01,2016-03-31
MONTH,-3,1,0,-,2017-03-01,2017-04-01,2017-03-31
MONTH,-2,1,0,-,2017-02-01,2017-03-01,2017-02-28
MONTH,-1,1,0,-,2017-01-01,2017-02-01,2017-01-31
MONTH,0,1,0,-,2016-12-01,2017-01-01,2016-12-31
MONTH,1,1,0,-,2016-11-01,2016-12-01,2016-11-30
MONTH,2,1,0,-,2016-10-01,2016-11-01,2016-10-31
